VCP SETUP A — 2126 stocks — 2015-2026
Total: 3487 | WR: 54.7% | R:R: 2.01 | Exp: +6.8%

STOCK        DATE            ENTRY     EXIT    RET%  W  DAYS REASON  
-----------------------------------------------------------------
BAJFINANCE   2015-11-24      53.67    58.10    +8.2%  W    90 time_up 
PETRONET     2015-11-24      80.44    84.04    +4.5%  W    90 time_up 
GODFRYPHLP   2015-11-26     411.22   314.16   -23.6%  L    90 time_up 
MAHSCOOTER   2015-11-26    1243.20  1051.09   -15.4%  L    50 sl_hit  
RAMCOCEM     2015-11-26     362.65   351.10    -3.2%  L    90 time_up 
TATAELXSI    2015-11-27     882.46   749.09   -15.1%  L    52 sl_hit  
ACE          2015-11-30      45.12    38.75   -14.1%  L     9 sl_hit  
HINDPETRO    2015-11-30      77.74    67.78   -12.8%  L    66 sl_hit  
M&M          2015-11-30     623.33   526.10   -15.6%  L    50 sl_hit  
JUBLPHARMA   2015-12-01     307.10   261.18   -14.9%  L    43 sl_hit  
NLCINDIA     2015-12-01      52.21    46.32   -11.3%  L    45 sl_hit  
SCI          2015-12-01      78.93    59.20   -25.0%  L    72 sl_hit  
ATUL         2015-12-03    1605.32  1436.52   -10.5%  L    43 sl_hit  
GSPL         2015-12-04     119.58   118.68    -0.8%  L    90 time_up 
APARINDS     2015-12-07     448.38   365.63   -18.5%  L    81 sl_hit  
BLUESTARCO   2015-12-15     168.13   152.11    -9.5%  L    31 sl_hit  
GODREJCP     2015-12-15     402.73   346.11   -14.1%  L    37 sl_hit  
ECLERX       2015-12-17     471.93   424.86   -10.0%  L    29 sl_hit  
RELIANCE     2015-12-17     218.79   221.40    +1.2%  W    90 time_up 
ASIANPAINT   2015-12-18     810.82   804.45    -0.8%  L    90 time_up 
SAREGAMA     2015-12-18      35.36    31.35   -11.3%  L    19 sl_hit  
BERGEPAINT   2015-12-22     141.91   129.94    -8.4%  L    90 time_up 
ABREL        2015-12-24     569.13   488.69   -14.1%  L    22 sl_hit  
BEL          2015-12-24      33.12    28.33   -14.5%  L    49 sl_hit  
ACE          2015-12-28      44.74    37.74   -15.6%  L    18 sl_hit  
KEI          2015-12-28     111.51    92.99   -16.6%  L    51 sl_hit  
LICHSGFIN    2015-12-29     426.11   375.45   -11.9%  L    36 sl_hit  
SOLARINDS    2015-12-29     654.19   593.76    -9.2%  L    31 sl_hit  
ZEEL         2015-12-30     394.95   354.46   -10.2%  L    21 sl_hit  
DEEPAKFERT   2015-12-31     129.04   112.97   -12.5%  L    40 sl_hit  
INDUSINDBK   2015-12-31     916.28   826.16    -9.8%  L    20 sl_hit  
EIHOTEL      2016-01-01     126.90   109.53   -13.7%  L    14 sl_hit  
BALRAMCHIN   2016-01-06      67.92    93.05   +37.0%  W    90 time_up 
CANFINHOME   2016-01-22     190.28   174.10    -8.5%  L    20 sl_hit  
JSWSTEEL     2016-01-25      99.43   120.80   +21.5%  W    91 time_up 
