VCP SETUP B — 2126 stocks — 2015-2026
Total: 2322 | WR: 54.1% | R:R: 2.12 | Exp: +6.8%

STOCK        DATE            ENTRY     EXIT    RET%  W  DAYS REASON  
-----------------------------------------------------------------
PETRONET     2015-11-24      80.44    84.04    +4.5%  W    90 time_up 
BAJFINANCE   2015-11-26      53.73    56.28    +4.8%  W    90 time_up 
RAMCOCEM     2015-11-26     362.65   351.10    -3.2%  L    90 time_up 
TATAELXSI    2015-11-27     882.46   749.08   -15.1%  L    52 sl_hit  
NLCINDIA     2015-12-01      52.21    46.32   -11.3%  L    45 sl_hit  
ATUL         2015-12-03    1605.32  1436.52   -10.5%  L    43 sl_hit  
APARINDS     2015-12-07     448.38   365.63   -18.5%  L    81 sl_hit  
GODREJCP     2015-12-15     402.73   346.11   -14.1%  L    37 sl_hit  
SAREGAMA     2015-12-18      35.36    31.35   -11.3%  L    19 sl_hit  
BLUESTARCO   2015-12-24     171.23   152.11   -11.2%  L    22 sl_hit  
SOLARINDS    2015-12-29     654.19   593.76    -9.2%  L    31 sl_hit  
INDUSINDBK   2015-12-31     916.28   826.16    -9.8%  L    20 sl_hit  
EIHOTEL      2016-01-01     126.90   109.53   -13.7%  L    14 sl_hit  
ASIANPAINT   2016-01-05     830.36   816.99    -1.6%  L    90 time_up 
BALRAMCHIN   2016-01-06      67.92    93.05   +37.0%  W    90 time_up 
HINDPETRO    2016-01-06      81.58    73.08   -10.4%  L    19 sl_hit  
CANFINHOME   2016-01-22     190.28   174.10    -8.5%  L    20 sl_hit  
IGL          2016-01-29      48.44    49.50    +2.2%  W    90 time_up 
EMAMILTD     2016-02-16     440.19   398.02    -9.6%  L    24 sl_hit  
MARICO       2016-02-19     201.46   215.76    +7.1%  W    90 time_up 
PIDILITIND   2016-02-24     287.54   314.06    +9.2%  W    90 time_up 
NBCC         2016-03-09      37.37    38.63    +3.4%  W    90 time_up 
WIPRO        2016-03-18      93.74    93.51    -0.2%  L    90 time_up 
HDFCBANK     2016-03-23     241.24   268.20   +11.2%  W    90 time_up 
MINDACORP    2016-03-23      98.71   108.05    +9.5%  W    90 time_up 
INFY         2016-03-31     464.98   454.39    -2.3%  L    90 time_up 
ZFCVINDIA    2016-04-04    5753.95  5815.15    +1.1%  W    91 time_up 
HAVELLS      2016-04-11     323.67   336.43    +3.9%  W    91 time_up 
GODREJCP     2016-04-13     421.78   497.43   +17.9%  W    90 time_up 
NATIONALUM   2016-04-26      25.82    27.28    +5.7%  W    90 time_up 
