VCP SETUP C — 2126 stocks — 2015-2026
Total: 1410 | WR: 55.7% | R:R: 2.02 | Exp: +6.9%

STOCK        DATE            ENTRY     EXIT    RET%  W  DAYS REASON  
-----------------------------------------------------------------
RAMCOCEM     2015-11-26     362.65   351.10    -3.2%  L    90 time_up 
NLCINDIA     2015-12-01      52.21    46.32   -11.3%  L    45 sl_hit  
ATUL         2015-12-03    1605.32  1436.52   -10.5%  L    43 sl_hit  
BAJFINANCE   2015-12-17      55.53    62.92   +13.3%  W    90 time_up 
SOLARINDS    2015-12-29     654.19   593.76    -9.2%  L    31 sl_hit  
PETRONET     2015-12-31      88.21    80.25    -9.0%  L    57 sl_hit  
ASIANPAINT   2016-01-05     830.36   816.99    -1.6%  L    90 time_up 
BALRAMCHIN   2016-01-06      67.92    93.05   +37.0%  W    90 time_up 
HINDPETRO    2016-01-06      81.58    73.08   -10.4%  L    19 sl_hit  
CANFINHOME   2016-01-22     190.28   174.10    -8.5%  L    20 sl_hit  
IGL          2016-01-29      48.44    49.50    +2.2%  W    90 time_up 
PIDILITIND   2016-02-24     287.54   314.06    +9.2%  W    90 time_up 
MINDACORP    2016-03-23      98.71   108.05    +9.5%  W    90 time_up 
HDFCBANK     2016-03-28     240.81   266.66   +10.7%  W    91 time_up 
INFY         2016-03-31     464.98   454.39    -2.3%  L    90 time_up 
ZFCVINDIA    2016-04-04    5753.95  5815.15    +1.1%  W    91 time_up 
NATIONALUM   2016-04-26      25.82    27.28    +5.7%  W    90 time_up 
CARBORUNIV   2016-05-05     192.06   243.67   +26.9%  W    90 time_up 
UNOMINDA     2016-05-09      33.92    37.87   +11.7%  W    91 time_up 
ASIANPAINT   2016-05-12     856.31  1047.33   +22.3%  W    90 time_up 
MANAPPURAM   2016-05-13      41.65    70.32   +68.9%  W    90 time_up 
JBCHEPHARM   2016-05-19     116.37   108.09    -7.1%  L    34 sl_hit  
FINCABLES    2016-05-24     265.45   395.77   +49.1%  W    90 time_up 
KAJARIACER   2016-05-25     495.27   593.64   +19.9%  W    90 time_up 
GAIL         2016-05-26      48.64    46.76    -3.9%  L    90 time_up 
POWERGRID    2016-05-26      53.54    64.81   +21.1%  W    90 time_up 
CHOLAFIN     2016-05-30     183.20   225.69   +23.2%  W    91 time_up 
ELGIEQUIP    2016-05-30      84.14    87.91    +4.5%  W    91 time_up 
SHREECEM     2016-05-31   12617.75 16289.47   +29.1%  W    90 time_up 
MUTHOOTFIN   2016-06-01     207.21   300.30   +44.9%  W    90 time_up 
BRIGADE      2016-06-02      98.82   108.29    +9.6%  W    90 time_up 
ULTRACEMCO   2016-06-07    3200.95  3921.96   +22.5%  W    91 time_up 
OBEROIRLTY   2016-06-09     284.10   287.63    +1.2%  W    90 time_up 
COROMANDEL   2016-06-13     226.01   224.14    -0.8%  L    91 time_up 
DEEPAKNTR    2016-06-14      81.42   116.04   +42.5%  W    90 time_up 
