VCP SETUP D — 2126 stocks — 2015-2026
Total: 841 | WR: 53.7% | R:R: 1.89 | Exp: +5.6%

STOCK        DATE            ENTRY     EXIT    RET%  W  DAYS REASON  
-----------------------------------------------------------------
RAMCOCEM     2015-11-26     362.65   351.10    -3.2%  L    90 time_up 
NLCINDIA     2015-12-01      52.21    46.32   -11.3%  L    45 sl_hit  
PETRONET     2015-12-31      88.21    80.25    -9.0%  L    57 sl_hit  
ASIANPAINT   2016-01-06     817.22   801.96    -1.9%  L    90 time_up 
BALRAMCHIN   2016-01-06      67.92    93.05   +37.0%  W    90 time_up 
BAJFINANCE   2016-01-08      61.12    67.78   +10.9%  W    90 time_up 
CANFINHOME   2016-01-22     190.28   174.10    -8.5%  L    20 sl_hit  
INFY         2016-03-31     464.98   454.39    -2.3%  L    90 time_up 
CARBORUNIV   2016-05-05     192.06   243.67   +26.9%  W    90 time_up 
ASIANPAINT   2016-05-12     856.31  1047.33   +22.3%  W    90 time_up 
MANAPPURAM   2016-05-13      41.65    70.32   +68.9%  W    90 time_up 
KAJARIACER   2016-05-25     495.27   593.64   +19.9%  W    90 time_up 
GAIL         2016-05-26      48.64    46.76    -3.9%  L    90 time_up 
FINCABLES    2016-05-27     306.47   388.40   +26.7%  W    90 time_up 
ELGIEQUIP    2016-05-30      84.14    87.91    +4.5%  W    91 time_up 
SHREECEM     2016-05-31   12617.75 16289.46   +29.1%  W    90 time_up 
CHOLAFIN     2016-06-02     198.12   224.21   +13.2%  W    90 time_up 
ULTRACEMCO   2016-06-07    3200.95  3921.96   +22.5%  W    91 time_up 
COROMANDEL   2016-06-13     226.01   224.14    -0.8%  L    91 time_up 
BRIGADE      2016-06-16     100.82   111.06   +10.2%  W    90 time_up 
WHIRLPOOL    2016-06-17     784.34   920.41   +17.4%  W    90 time_up 
KOTAKBANK    2016-06-22     146.91   157.63    +7.3%  W    90 time_up 
ALKYLAMINE   2016-06-27     137.16   124.18    -9.5%  L    91 time_up 
GRAPHITE     2016-06-28      62.38    59.41    -4.8%  L    90 time_up 
GSPL         2016-06-30     128.84   116.66    -9.5%  L    15 sl_hit  
NAVA         2016-06-30      50.69    54.57    +7.7%  W    90 time_up 
NTPC         2016-06-30      90.32    89.21    -1.2%  L    90 time_up 
SRF          2016-06-30     250.96   344.53   +37.3%  W    90 time_up 
MAHSEAMLES   2016-07-01     107.43    99.88    -7.0%  L    17 sl_hit  
MUTHOOTFIN   2016-07-04     244.05   297.67   +22.0%  W    91 time_up 
HINDZINC     2016-07-05      84.35   115.86   +37.4%  W    90 time_up 
FACT         2016-07-07      25.37    23.37    -7.9%  L    26 sl_hit  
ABB          2016-07-11    1118.95  1022.90    -8.6%  L    36 sl_hit  
AKZOINDIA    2016-07-12    1210.11  1313.33    +8.5%  W    90 time_up 
NATIONALUM   2016-07-12      28.30    30.06    +6.2%  W    90 time_up 
OLECTRA      2016-07-14      20.22    21.52    +6.4%  W    91 time_up 
HAVELLS      2016-07-22     353.65   384.41    +8.7%  W    90 time_up 
IIFL         2016-07-22     120.82   135.80   +12.4%  W    90 time_up 
MCX          2016-07-22     190.37   164.60   -13.5%  L    52 sl_hit  
APARINDS     2016-07-26     482.88   524.54    +8.6%  W    90 time_up 
JMFINANCIL   2016-07-26      60.72    71.71   +18.1%  W    90 time_up 
FINPIPE      2016-07-27      79.70    78.00    -2.1%  L    90 time_up 
VGUARD       2016-07-27     110.40   147.94   +34.0%  W    90 time_up 
EICHERMOT    2016-07-28    1966.61  2275.95   +15.7%  W    90 time_up 
NMDC         2016-07-28      14.45    16.84   +16.6%  W    90 time_up 
PIDILITIND   2016-07-28     359.09   332.90    -7.3%  L    27 sl_hit  
POWERGRID    2016-07-28      62.64    62.91    +0.4%  W    90 time_up 
RELINFRA     2016-07-29     575.83   521.86    -9.4%  L    90 time_up 
CHOLAHLDNG   2016-08-04     360.06   432.32   +20.1%  W    90 time_up 
AARTIIND     2016-08-09     135.49   172.46   +27.3%  W    90 time_up 
ABREL        2016-08-09     671.51   935.50   +39.3%  W    90 time_up 
CUB          2016-08-10     103.12   119.75   +16.1%  W    90 time_up 
NHPC         2016-08-10      15.83    16.30    +3.0%  W    90 time_up 
AIAENG       2016-08-11    1090.96  1177.92    +8.0%  W    90 time_up 
ESCORTS      2016-08-11     290.88   318.43    +9.5%  W    90 time_up 
BALKRISIND   2016-08-16     340.81   443.07   +30.0%  W    91 time_up 
KAJARIACER   2016-08-29     591.53   553.03    -6.5%  L    57 sl_hit  
ZEEL         2016-08-29     491.33   446.89    -9.1%  L    74 sl_hit  
SAMMAANCAP   2016-08-31     574.30   477.68   -16.8%  L    76 sl_hit  
CESC         2016-09-01      41.72    37.54   -10.0%  L    46 sl_hit  
PIIND        2016-09-02     796.09   737.76    -7.3%  L    80 sl_hit  
EMAMILTD     2016-09-06     520.68   468.80   -10.0%  L    66 sl_hit  
SHREECEM     2016-09-06   17300.76 15507.83   -10.4%  L    58 sl_hit  
FEDERALBNK   2016-09-07      68.83    64.62    -6.1%  L    90 time_up 
KIRLOSENG    2016-09-07     251.86   273.21    +8.5%  W    90 time_up 
BASF         2016-09-14    1129.94   999.09   -11.6%  L    64 sl_hit  
PHOENIXLTD   2016-09-14     204.02   177.09   -13.2%  L    55 sl_hit  
SUNTV        2016-09-15     395.27   340.99   -13.7%  L    67 sl_hit  
RELIANCE     2016-09-16     235.68   215.92    -8.4%  L    60 sl_hit  
UPL          2016-09-16     422.06   365.74   -13.3%  L    60 sl_hit  
BRIGADE      2016-09-23     115.10   104.89    -8.9%  L    47 sl_hit  
RHIM         2016-09-23     105.68   107.35    +1.6%  W    90 time_up 
INDIANB      2016-09-28     192.11   177.05    -7.8%  L    90 time_up 
JKCEMENT     2016-09-30     825.09   701.57   -15.0%  L    48 sl_hit  
CERA         2016-10-04    2338.39  2081.24   -11.0%  L    38 sl_hit  
TATACONSUM   2016-10-05     139.37   119.41   -14.3%  L    29 sl_hit  
GMDCLTD      2016-10-06      73.80    74.74    +1.3%  W    90 time_up 
CANFINHOME   2016-10-14     343.39   295.59   -13.9%  L    28 sl_hit  
CENTURYPLY   2016-10-17     246.61   205.65   -16.6%  L    23 sl_hit  
ICICIBANK    2016-10-17     224.18   233.32    +4.1%  W    91 time_up 
CAPLIPOINT   2016-10-18     279.82   395.55   +41.4%  W    90 time_up 
JUBLPHARMA   2016-10-18     476.89   398.87   -16.4%  L    28 sl_hit  
LICHSGFIN    2016-10-18     525.21   471.49   -10.2%  L    16 sl_hit  
ZYDUSLIFE    2016-10-25     376.42   345.78    -8.1%  L    14 sl_hit  
VGUARD       2016-10-26     146.77   119.44   -18.6%  L    23 sl_hit  
WHIRLPOOL    2016-11-03    1096.36   866.07   -21.0%  L    13 sl_hit  
CHOLAHLDNG   2016-11-04     407.16   367.90    -9.6%  L    17 sl_hit  
CGPOWER      2016-11-07      84.86    71.62   -15.6%  L    10 sl_hit  
KEI          2016-11-07     121.07   107.45   -11.2%  L    14 sl_hit  
OIL          2016-11-22      86.12    90.71    +5.3%  W    90 time_up 
NATIONALUM   2016-11-25      32.70    37.75   +15.4%  W    90 time_up 
BHARATFORG   2016-12-13     467.03   485.26    +3.9%  W    91 time_up 
TRIDENT      2016-12-15       4.86     6.75   +38.8%  W    90 time_up 
IOC          2016-12-29      57.26    68.77   +20.1%  W    90 time_up 
AIAENG       2017-01-12    1323.78  1470.61   +11.1%  W    90 time_up 
NTPC         2017-01-12     101.48    97.86    -3.6%  L    90 time_up 
BSOFT        2017-01-13      75.51    69.18    -8.4%  L    18 sl_hit  
VTL          2017-01-17     203.95   238.18   +16.8%  W    90 time_up 
KEC          2017-01-25     141.97   204.47   +44.0%  W    90 time_up 
APARINDS     2017-02-02     590.60   723.34   +22.5%  W    90 time_up 
INDHOTEL     2017-02-06     101.33   113.68   +12.2%  W    91 time_up 
NATCOPHARM   2017-02-23     752.60   827.60   +10.0%  W    90 time_up 
GRAVITA      2017-03-07      46.70    73.36   +57.1%  W    90 time_up 
SUPREMEIND   2017-03-10     953.98  1068.75   +12.0%  W    90 time_up 
TRIDENT      2017-03-23       7.14     6.49    -9.1%  L    90 time_up 
UNIONBANK    2017-03-24     133.48   130.11    -2.5%  L    90 time_up 
IOC          2017-03-31      71.91    71.87    -0.1%  L    90 time_up 
SOLARINDS    2017-03-31     764.72   792.42    +3.6%  W    90 time_up 
ASAHIINDIA   2017-04-05     221.72   251.46   +13.4%  W    90 time_up 
TATACHEM     2017-04-10     208.21   219.49    +5.4%  W    91 time_up 
ADANIENT     2017-04-11      64.75    71.98   +11.2%  W    90 time_up 
PFC          2017-04-11      77.78    59.64   -23.3%  L    55 sl_hit  
SARDAEN      2017-04-11      24.16    23.84    -1.3%  L    90 time_up 
TARIL        2017-04-11      22.16    19.23   -13.2%  L    30 sl_hit  
EIDPARRY     2017-04-12     269.90   290.55    +7.7%  W    90 time_up 
UPL          2017-04-18     463.85   530.53   +14.4%  W    90 time_up 
MOTHERSON    2017-04-19      40.89    51.78   +26.6%  W    90 time_up 
EXIDEIND     2017-04-20     218.45   200.67    -8.1%  L    90 time_up 
OBEROIRLTY   2017-04-20     384.74   348.20    -9.5%  L    64 sl_hit  
ULTRACEMCO   2017-04-24    3986.20  4049.94    +1.6%  W    91 time_up 
BEML         2017-04-26     557.59   500.43   -10.2%  L    23 sl_hit  
CEATLTD      2017-04-26    1423.70  1719.83   +20.8%  W    90 time_up 
HSCL         2017-04-26      53.29    84.78   +59.1%  W    90 time_up 
PNB          2017-04-26     155.09   134.63   -13.2%  L    33 sl_hit  
CANBK        2017-04-28      62.34    61.89    -0.7%  L    90 time_up 
DCMSHRIRAM   2017-05-02     328.99   324.28    -1.4%  L    90 time_up 
THERMAX      2017-05-03     985.10   840.79   -14.7%  L    90 time_up 
MPHASIS      2017-06-01     483.05   502.73    +4.1%  W    90 time_up 
TVSMOTOR     2017-06-02     516.72   577.35   +11.7%  W    90 time_up 
KARURVYSYA   2017-06-05      79.98    93.27   +16.6%  W    91 time_up 
TATAINVEST   2017-06-05      57.54    72.48   +26.0%  W    91 time_up 
BRIGADE      2017-06-22     174.03   164.27    -5.6%  L     8 sl_hit  
PHOENIXLTD   2017-06-27     222.58   232.09    +4.3%  W    90 time_up 
WELCORP      2017-06-28      91.95   107.99   +17.4%  W    90 time_up 
ASHOKLEY     2017-07-04      41.87    52.39   +25.1%  W    91 time_up 
GRASIM       2017-07-17     957.94  1086.32   +13.4%  W    91 time_up 
MAHSCOOTER   2017-07-18    1721.28  2391.35   +38.9%  W    90 time_up 
BAJFINANCE   2017-07-19     150.17   181.84   +21.1%  W    90 time_up 
PIDILITIND   2017-07-19     381.48   387.12    +1.5%  W    90 time_up 
GODREJIND    2017-07-20     685.00   598.75   -12.6%  L    20 sl_hit  
BHARTIARTL   2017-07-21     353.39   407.05   +15.2%  W    90 time_up 
MANAPPURAM   2017-07-21      88.98    79.17   -11.0%  L    20 sl_hit  
APOLLOTYRE   2017-07-25     233.94   213.74    -8.6%  L    64 sl_hit  
CHOLAFIN     2017-07-27     229.04   212.49    -7.2%  L    90 time_up 
OBEROIRLTY   2017-07-28     378.70   350.52    -7.4%  L    13 sl_hit  
GODREJCP     2017-07-31     643.03   570.49   -11.3%  L     2 sl_hit  
ABREL        2017-08-04    1174.55  1313.44   +11.8%  W    90 time_up 
BBTC         2017-08-07     892.44  1586.16   +77.7%  W    91 time_up 
MUTHOOTFIN   2017-08-08     413.17   374.49    -9.4%  L     2 sl_hit  
CONCOR       2017-08-16     442.28   482.64    +9.1%  W    90 time_up 
PGHH         2017-08-30    7384.17  8270.94   +12.0%  W    90 time_up 
BAJAJ-AUTO   2017-09-01    2339.17  2651.30   +13.3%  W    90 time_up 
TITAN        2017-09-05     621.10   559.66    -9.9%  L    23 sl_hit  
MINDACORP    2017-09-07     109.94   176.34   +60.4%  W    90 time_up 
LT           2017-09-08    1040.11  1080.92    +3.9%  W    90 time_up 
WHIRLPOOL    2017-09-08    1195.89  1507.12   +26.0%  W    90 time_up 
BATAINDIA    2017-09-11     668.66   684.04    +2.3%  W    91 time_up 
DCMSHRIRAM   2017-09-11     399.67   507.69   +27.0%  W    91 time_up 
PETRONET     2017-09-11     166.85   175.41    +5.1%  W    91 time_up 
JKCEMENT     2017-09-12     995.43   905.13    -9.1%  L    10 sl_hit  
TATACHEM     2017-09-13     224.21   256.28   +14.3%  W    90 time_up 
AXISBANK     2017-09-14     516.95   461.99   -10.6%  L    34 sl_hit  
SOBHA        2017-09-19     386.26   551.30   +42.7%  W    90 time_up 
TATASTEEL    2017-09-20      52.64    54.36    +3.3%  W    90 time_up 
CHOLAHLDNG   2017-09-25     584.09   671.32   +14.9%  W    92 time_up 
ALKEM        2017-09-27    1697.07  2008.65   +18.4%  W    90 time_up 
NAVINFLUOR   2017-10-05     709.45   775.62    +9.3%  W    90 time_up 
TVSMOTOR     2017-10-10     656.35   735.65   +12.1%  W    90 time_up 
BRITANNIA    2017-10-12    2010.49  2068.14    +2.9%  W    90 time_up 
TCS          2017-10-12    1041.04  1149.73   +10.4%  W    90 time_up 
ICICIBANK    2017-10-25     293.64   348.00   +18.5%  W    90 time_up 
UBL          2017-10-25     895.53  1128.50   +26.0%  W    90 time_up 
COROMANDEL   2017-10-27     449.89   493.10    +9.6%  W    90 time_up 
MARUTI       2017-10-27    7534.86  8615.49   +14.3%  W    90 time_up 
SUNDARMFIN   2017-10-30    1333.92  1414.63    +6.0%  W    91 time_up 
SUZLON       2017-10-30      15.20    13.45   -11.5%  L    14 sl_hit  
DABUR        2017-10-31     304.37   330.12    +8.5%  W    90 time_up 
AUROPHARMA   2017-11-02     752.63   677.24   -10.0%  L    11 sl_hit  
RAMCOCEM     2017-11-02     699.23   738.68    +5.6%  W    90 time_up 
SCHAEFFLER   2017-11-02     968.14  1036.05    +7.0%  W    90 time_up 
3MINDIA      2017-11-03   14317.00 17913.07   +25.1%  W    90 time_up 
GSPL         2017-11-09     197.75   176.52   -10.7%  L    85 sl_hit  
INTELLECT    2017-11-09     143.62   183.15   +27.5%  W    90 time_up 
JUBLFOOD     2017-11-24     176.86   193.69    +9.5%  W    90 time_up 
PGHH         2017-11-30    8393.72  8387.02    -0.1%  L    90 time_up 
LTTS         2017-12-01    1005.56  1285.71   +27.9%  W    90 time_up 
ENGINERSIN   2017-12-22     154.83   134.70   -13.0%  L    27 sl_hit  
DIVISLAB     2017-12-27    1062.14   936.73   -11.8%  L    70 sl_hit  
SWANCORP     2018-01-01     191.93   179.34    -6.6%  L    77 sl_hit  
NMDC         2018-01-10      22.82    18.06   -20.9%  L    54 sl_hit  
SONATSOFTW   2018-01-11      87.55    99.27   +13.4%  W    90 time_up 
CHOLAFIN     2018-01-16     259.05   307.13   +18.6%  W    90 time_up 
INFY         2018-01-16     451.12   455.28    +0.9%  W    90 time_up 
TECHM        2018-01-16     422.03   506.08   +19.9%  W    90 time_up 
CONCOR       2018-01-18     519.52   472.17    -9.1%  L    19 sl_hit  
ZFCVINDIA    2018-01-23    8194.88  7837.14    -4.4%  L    90 time_up 
SYNGENE      2018-01-24     325.63   324.30    -0.4%  L    90 time_up 
IIFL         2018-02-01     404.73   382.45    -5.5%  L    90 time_up 
ASTRAL       2018-02-27     388.36   429.24   +10.5%  W    90 time_up 
ABBOTINDIA   2018-03-06    5163.26  5895.08   +14.2%  W    90 time_up 
ZENSARTECH   2018-04-04     168.50   226.89   +34.7%  W    90 time_up 
IRB          2018-04-12      25.20    18.72   -25.7%  L    77 sl_hit  
ATUL         2018-04-13    2637.65  2716.05    +3.0%  W    90 time_up 
CHAMBLFERT   2018-04-13     155.06   131.86   -15.0%  L    40 sl_hit  
MRF          2018-04-27   79454.82 77707.41    -2.2%  L    90 time_up 
BERGEPAINT   2018-05-22     234.74   267.82   +14.1%  W    90 time_up 
PIDILITIND   2018-05-25     548.00   499.31    -8.9%  L    27 sl_hit  
SUNDRMFAST   2018-05-31     596.78   631.16    +5.8%  W    90 time_up 
CUB          2018-07-12     167.73   155.29    -7.4%  L    85 sl_hit  
BAJFINANCE   2018-07-19     245.87   215.04   -12.5%  L    70 sl_hit  
HAVELLS      2018-07-24     571.47   562.63    -1.6%  L    90 time_up 
TATAELXSI    2018-07-26    1338.58  1211.22    -9.5%  L    47 sl_hit  
YESBANK      2018-07-26     364.75   319.02   -12.5%  L    43 sl_hit  
GODREJCP     2018-07-30     820.32   656.41   -20.0%  L    70 sl_hit  
TORNTPHARM   2018-07-31     693.76   755.32    +8.9%  W    90 time_up 
AIAENG       2018-08-02    1630.47  1464.29   -10.2%  L    68 sl_hit  
JSWSTEEL     2018-08-29     368.00   300.72   -18.3%  L    84 sl_hit  
IEX          2018-09-14      51.84    47.53    -8.3%  L    90 time_up 
AUROPHARMA   2018-12-04     789.60   721.34    -8.7%  L     2 sl_hit  
TIINDIA      2018-12-31     348.05   381.97    +9.7%  W    91 time_up 
AARTIIND     2019-01-10     365.81   323.25   -11.6%  L    39 sl_hit  
ALKYLAMINE   2019-01-22     320.79   288.76   -10.0%  L     6 sl_hit  
HAVELLS      2019-01-22     679.58   726.93    +7.0%  W    90 time_up 
DIVISLAB     2019-02-04    1533.40  1614.57    +5.3%  W    91 time_up 
JBCHEPHARM   2019-02-07     150.06   149.56    -0.3%  L    90 time_up 
PIIND        2019-03-01     911.49  1060.48   +16.4%  W    90 time_up 
TITAN        2019-03-15    1071.44  1264.98   +18.1%  W    90 time_up 
MGL          2019-03-26     836.24   713.86   -14.6%  L    48 sl_hit  
INDIGO       2019-04-16    1574.30  1347.99   -14.4%  L    86 sl_hit  
TATAINVEST   2019-04-16      75.65    76.65    +1.3%  W    90 time_up 
RELIANCE     2019-04-18     616.31   577.84    -6.2%  L    20 sl_hit  
SRF          2019-05-14     507.49   553.94    +9.2%  W    91 time_up 
ASTRAZEN     2019-05-17    2302.70  1816.78   -21.1%  L    20 sl_hit  
AUBANK       2019-06-25     347.25   339.55    -2.2%  L    90 time_up 
KEC          2019-07-04     315.22   286.82    -9.0%  L    29 sl_hit  
ABBOTINDIA   2019-07-12    8104.70 10092.04   +24.5%  W    90 time_up 
HDFCLIFE     2019-07-23     500.88   602.08   +20.2%  W    91 time_up 
GUJGASLTD    2019-08-02     167.22   187.05   +11.9%  W    90 time_up 
TATACONSUM   2019-08-28     267.48   286.05    +7.0%  W    90 time_up 
SBILIFE      2019-08-30     828.59   959.45   +15.8%  W    90 time_up 
CROMPTON     2019-09-20     239.49   234.34    -2.1%  L    90 time_up 
PHOENIXLTD   2019-09-20     355.20   380.31    +7.1%  W    90 time_up 
HONAUT       2019-09-23   28608.29 26640.23    -6.9%  L    91 time_up 
DEEPAKNTR    2019-09-26     304.68   361.88   +18.8%  W    91 time_up 
BRIGADE      2019-09-30     210.92   211.56    +0.3%  W    91 time_up 
HCLTECH      2019-10-24     448.56   474.34    +5.8%  W    90 time_up 
VBL          2019-11-06      66.07    72.12    +9.2%  W    90 time_up 
AMBER        2019-11-08     973.12  1567.15   +61.0%  W    90 time_up 
ABBOTINDIA   2019-11-14   11049.84 13527.12   +22.4%  W    90 time_up 
RITES        2019-11-14     107.73   115.01    +6.8%  W    90 time_up 
SUNDARMFIN   2019-11-15    1590.38  1554.54    -2.2%  L    90 time_up 
GLAXO        2019-11-28    1449.92  1236.32   -14.7%  L    68 sl_hit  
TATACHEM     2019-12-13     264.44   239.18    -9.6%  L    90 time_up 
NH           2019-12-19     303.95   287.04    -5.6%  L    88 sl_hit  
ADANIENT     2019-12-20     216.73   197.66    -8.8%  L    17 sl_hit  
GSPL         2020-01-03     219.76   195.38   -11.1%  L    69 sl_hit  
GUJGASLTD    2020-01-03     239.03   195.59   -18.2%  L    80 sl_hit  
FACT         2020-01-06      45.90    36.43   -20.6%  L    39 sl_hit  
GMRAIRPORT   2020-01-06      20.36    18.02   -11.5%  L    53 sl_hit  
TATACONSUM   2020-01-10     326.02   289.83   -11.1%  L    62 sl_hit  
GESHIP       2020-01-14     256.43   227.36   -11.3%  L    30 sl_hit  
COROMANDEL   2020-01-15     532.66   491.86    -7.7%  L    91 time_up 
NESTLEIND    2020-01-16     717.49   632.53   -11.8%  L    62 sl_hit  
APLLTD       2020-01-17     555.01   456.46   -17.8%  L    61 sl_hit  
NAVINFLUOR   2020-01-17    1051.64  1410.34   +34.1%  W    90 time_up 
COCHINSHIP   2020-01-20     182.44   162.28   -11.1%  L     7 sl_hit  
TECHNOE      2020-01-20     286.78   244.53   -14.7%  L    52 sl_hit  
PERSISTENT   2020-01-22     341.20   308.17    -9.7%  L    50 sl_hit  
CHOLAFIN     2020-01-23     318.53   285.75   -10.3%  L    42 sl_hit  
DIVISLAB     2020-01-29    1888.44  2292.54   +21.4%  W    90 time_up 
POLYMED      2020-01-29     288.29   200.76   -30.4%  L    55 sl_hit  
JUBLFOOD     2020-01-30     361.54   291.87   -19.3%  L    42 sl_hit  
GODREJPROP   2020-02-03    1071.20   915.40   -14.5%  L    32 sl_hit  
ABFRL        2020-02-06     250.71   201.18   -19.8%  L    39 sl_hit  
ALKEM        2020-02-07    2335.84  2049.86   -12.2%  L    41 sl_hit  
TRENT        2020-02-07     657.92   533.10   -19.0%  L    39 sl_hit  
MUTHOOTFIN   2020-02-17     786.67   643.36   -18.2%  L    28 sl_hit  
DEEPAKNTR    2020-02-25     492.97   356.94   -27.6%  L    22 sl_hit  
